EmployeeNumber,Attrition,Department,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
442,No,Research & Development,7,2,1,3,2,3,Manufacturing Director,3,1,No,24,4,1,80,1,10,2,3
444,No,Research & Development,7,2,1,3,2,5,Manager,4,1,No,15,3,1,80,1,21,2,3
445,Yes,Research & Development,3,2,1,4,3,2,Sales Executive,3,4,Yes,18,3,1,80,0,12,3,2
446,No,Research & Development,10,3,1,2,2,2,Sales Executive,4,3,No,14,3,3,80,0,9,6,2
447,No,Research & Development,5,5,1,4,3,5,Research Director,3,4,No,11,3,2,80,1,21,2,3
448,No,Research & Development,10,4,1,3,2,2,Laboratory Technician,3,1,No,11,3,2,80,1,9,3,4
449,No,Research & Development,1,1,1,3,3,2,Sales Executive,2,0,Yes,13,3,4,80,1,6,0,3
450,No,Research & Development,20,4,1,4,3,2,Research Scientist,3,3,No,12,3,4,80,0,20,4,2
451,No,Research & Development,7,3,1,3,3,3,Healthcare Representative,1,8,No,16,3,1,80,1,10,1,2
452,No,Research & Development,8,4,1,4,3,2,Research Scientist,4,9,No,14,3,1,80,2,12,3,3
453,No,Research & Development,1,2,1,2,1,2,Sales Executive,4,2,Yes,22,4,3,80,3,6,2,2
454,Yes,Research & Development,8,4,1,2,1,1,Laboratory Technician,1,1,Yes,11,3,4,80,0,7,4,2
455,No,Research & Development,9,5,1,2,2,1,Laboratory Technician,4,0,No,17,3,3,80,0,4,2,3
456,No,Research & Development,5,3,1,4,2,2,Sales Executive,3,1,No,13,3,3,80,3,10,2,3
458,No,Research & Development,8,4,1,2,3,2,Sales Executive,2,1,No,18,3,1,80,1,8,3,3
460,No,Research & Development,5,2,1,4,3,2,Manufacturing Director,4,7,No,16,3,3,80,2,8,2,2
461,No,Research & Development,15,2,1,3,2,3,Research Director,4,0,Yes,14,3,2,80,1,12,3,3
462,No,Research & Development,7,4,1,3,3,3,Manufacturing Director,4,1,Yes,14,3,3,80,0,11,2,2
463,No,Research & Development,10,1,1,4,2,2,Sales Executive,2,1,Yes,14,3,1,80,2,7,2,3
464,No,Research & Development,5,4,1,3,3,3,Manufacturing Director,2,0,No,13,3,4,80,0,17,5,3
465,No,Research & Development,26,1,1,3,3,1,Research Scientist,4,1,No,12,3,3,80,2,4,2,2
466,No,Research & Development,6,3,1,4,2,2,Manufacturing Director,2,6,Yes,15,3,4,80,0,8,3,3
467,No,Research & Development,4,1,1,2,3,2,Sales Representative,3,3,No,19,3,1,80,0,5,3,3
468,No,Research & Development,23,5,1,1,3,4,Research Director,4,2,No,14,3,2,80,0,16,2,3
469,No,Research & Development,2,3,1,4,3,2,Sales Executive,3,1,No,14,3,1,80,1,4,3,2
470,No,Research & Development,2,1,1,3,3,1,Human Resources,3,0,Yes,11,3,3,80,1,4,5,3
471,No,Research & Development,2,3,1,3,3,1,Laboratory Technician,2,1,No,13,3,3,80,1,8,4,3
473,No,Research & Development,29,1,1,1,3,3,Manager,3,3,No,21,4,2,80,1,15,3,1
474,No,Research & Development,6,3,1,3,4,2,Research Scientist,1,4,Yes,13,3,1,80,2,13,2,3
475,No,Research & Development,25,2,1,4,3,2,Sales Executive,3,7,Yes,12,3,2,80,1,4,2,4
476,No,Research & Development,1,3,1,3,3,2,Sales Executive,3,1,No,17,3,2,80,1,8,3,3
477,No,Research & Development,2,4,1,1,2,2,Healthcare Representative,4,3,No,23,4,2,80,0,14,6,3
478,Yes,Research & Development,1,1,1,1,2,1,Sales Representative,2,1,Yes,11,3,3,80,0,3,3,3
479,No,Research & Development,1,5,1,4,3,2,Sales Executive,4,4,No,15,3,2,80,0,7,6,3
481,No,Research & Development,3,4,1,1,2,3,Sales Executive,4,4,No,11,3,1,80,1,16,2,3
482,No,Research & Development,1,4,1,4,3,2,Healthcare Representative,3,2,No,11,3,3,80,0,15,2,3
483,No,Research & Development,10,4,1,4,4,1,Laboratory Technician,3,3,Yes,13,3,3,80,1,10,3,3
484,No,Research & Development,9,2,1,1,3,1,Sales Representative,4,1,No,24,4,3,80,0,3,3,2
485,Yes,Research & Development,5,3,1,4,3,1,Sales Representative,3,1,Yes,13,3,2,80,0,1,2,3
486,No,Research & Development,10,3,1,3,3,1,Laboratory Technician,1,6,No,20,4,2,80,1,17,3,3
487,No,Research & Development,7,4,1,3,3,2,Manufacturing Director,3,2,No,14,3,3,80,0,7,2,4
488,Yes,Research & Development,4,3,1,1,3,2,Sales Executive,2,1,No,18,3,3,80,0,8,5,3
491,No,Research & Development,10,3,1,4,2,3,Healthcare Representative,4,6,No,15,3,4,80,0,20,2,3
492,Yes,Research & Development,22,2,1,3,2,2,Sales Executive,3,2,Yes,12,3,1,80,2,8,6,3
493,No,Research & Development,9,4,1,3,2,1,Research Scientist,2,0,Yes,16,3,4,80,0,3,5,3
494,Yes,Research & Development,12,3,1,3,4,1,Sales Representative,2,1,No,15,3,4,80,0,1,0,3
495,No,Research & Development,23,3,1,4,3,1,Research Scientist,4,9,No,16,3,4,80,0,6,4,3
496,No,Research & Development,9,4,1,3,2,2,Healthcare Representative,2,9,No,19,3,3,80,0,10,5,3
497,No,Research & Development,1,2,1,4,3,1,Laboratory Technician,2,1,No,11,3,2,80,1,5,2,3
498,No,Research & Development,9,4,1,2,3,2,Sales Executive,4,1,No,16,3,4,80,0,7,1,3
499,No,Research & Development,7,3,1,2,2,3,Healthcare Representative,3,8,No,24,4,3,80,0,26,2,3
500,No,Research & Development,14,2,1,3,3,2,Sales Executive,4,4,No,11,3,3,80,1,18,2,2
501,No,Research & Development,2,3,1,4,3,1,Research Scientist,3,4,No,13,3,2,80,1,6,3,3
502,Yes,Research & Development,19,3,1,1,4,2,Sales Executive,4,8,Yes,13,3,2,80,0,9,3,2
505,No,Research & Development,2,3,1,3,3,4,Manager,4,2,Yes,13,3,3,80,0,30,2,3
507,No,Research & Development,10,4,1,4,3,2,Sales Executive,3,1,Yes,12,3,4,80,1,5,2,4
508,No,Research & Development,2,1,1,3,3,1,Sales Representative,2,1,No,18,3,1,80,1,1,3,3
510,Yes,Research & Development,3,1,1,3,3,1,Research Scientist,1,0,No,22,4,3,80,0,7,2,3
511,No,Research & Development,11,3,1,1,3,1,Research Scientist,2,1,No,13,3,4,80,1,2,1,3
513,No,Research & Development,2,2,1,2,2,3,Sales Executive,3,1,No,13,3,2,80,2,10,2,3
514,Yes,Research & Development,4,3,1,3,3,1,Research Scientist,4,9,Yes,23,4,3,80,0,3,4,3
515,No,Research & Development,14,3,1,4,3,1,Laboratory Technician,1,1,No,12,3,3,80,1,18,2,2
516,No,Research & Development,2,2,1,4,3,2,Sales Executive,2,7,No,12,3,3,80,2,8,5,3
517,No,Research & Development,1,4,1,2,3,1,Laboratory Technician,1,3,No,16,3,2,80,1,8,5,3
518,No,Research & Development,10,4,1,3,3,2,Manufacturing Director,2,2,Yes,12,3,4,80,0,18,2,2
520,No,Research & Development,12,3,1,1,2,4,Research Director,2,1,No,11,3,3,80,1,25,3,3
521,No,Research & Development,2,3,1,2,2,2,Laboratory Technician,3,6,No,22,4,2,80,1,20,3,3
522,No,Research & Development,5,2,1,1,3,5,Research Director,1,4,No,11,3,3,80,1,24,4,2
523,No,Research & Development,4,4,1,3,3,2,Sales Executive,3,9,No,15,3,1,80,1,6,3,3
524,No,Research & Development,7,2,1,2,3,2,Manufacturing Director,1,1,No,12,3,2,80,1,13,5,1
525,No,Research & Development,21,3,1,4,3,1,Laboratory Technician,4,7,No,20,4,1,80,1,8,1,3
526,No,Research & Development,8,4,1,3,3,2,Healthcare Representative,3,4,Yes,14,3,4,80,0,8,3,3
527,No,Research & Development,4,2,1,2,2,2,Sales Executive,4,1,Yes,11,3,2,80,0,5,3,3
529,No,Research & Development,25,5,1,2,3,2,Research Scientist,3,3,Yes,15,3,1,80,2,15,2,3
530,No,Research & Development,1,2,1,4,2,1,Laboratory Technician,1,1,No,12,3,3,80,1,4,3,3
531,No,Research & Development,1,1,1,2,3,5,Manager,3,1,Yes,14,3,3,80,1,21,3,3
532,No,Research & Development,6,3,1,3,4,4,Sales Executive,1,9,No,11,3,4,80,3,36,0,2
533,No,Research & Development,12,3,1,2,3,2,Sales Executive,3,0,No,11,3,2,80,0,6,6,3
534,No,Research & Development,1,3,1,2,4,3,Sales Executive,1,1,No,16,3,3,80,1,10,2,3
536,No,Research & Development,17,2,1,3,3,2,Laboratory Technician,1,1,No,12,3,4,80,1,10,2,3
538,Yes,Research & Development,3,3,1,1,3,1,Laboratory Technician,1,5,No,13,3,3,80,1,6,5,3
543,No,Research & Development,3,3,1,4,2,3,Manufacturing Director,3,2,Yes,14,3,3,80,0,28,4,3
544,No,Research & Development,10,2,1,1,3,1,Research Scientist,4,3,No,21,4,4,80,2,8,3,2
546,No,Research & Development,4,2,1,4,3,4,Manager,4,2,No,13,3,4,80,0,31,2,1
547,No,Research & Development,29,2,1,1,3,2,Research Scientist,3,2,No,11,3,2,80,1,19,3,3
548,No,Research & Development,2,3,1,3,1,2,Manufacturing Director,4,2,No,20,4,3,80,0,11,2,3
549,No,Research & Development,7,3,1,1,3,5,Manager,1,5,No,11,3,4,80,0,33,5,1
550,No,Research & Development,18,3,1,3,3,2,Manufacturing Director,3,2,No,14,3,3,80,1,19,5,2
551,No,Research & Development,28,4,1,4,2,2,Healthcare Representative,4,0,No,11,3,4,80,3,7,4,4
554,Yes,Research & Development,1,1,1,1,3,1,Sales Representative,2,1,Yes,16,3,2,80,0,6,4,3
555,Yes,Research & Development,6,2,1,4,1,1,Sales Representative,3,0,No,16,3,4,80,1,3,3,2
556,No,Research & Development,2,2,1,4,3,1,Laboratory Technician,4,1,Yes,23,4,3,80,1,1,3,3
558,No,Research & Development,2,4,1,3,3,5,Manager,3,0,No,14,3,4,80,0,21,2,3
560,No,Research & Development,23,3,1,1,3,1,Research Scientist,4,1,No,22,4,2,80,2,3,3,1
562,No,Research & Development,3,3,1,3,3,1,Laboratory Technician,4,4,No,15,3,3,80,1,9,3,1
564,No,Research & Development,3,4,1,2,2,3,Research Director,3,1,No,18,3,3,80,0,10,2,3
565,Yes,Research & Development,25,5,1,3,2,1,Research Scientist,2,5,No,16,3,2,80,0,6,2,4
566,Yes,Research & Development,2,2,1,1,2,1,Human Resources,4,1,No,12,3,3,80,0,1,3,4
567,No,Research & Development,22,4,1,3,3,3,Sales Executive,1,0,No,11,3,3,80,0,10,3,3
568,No,Research & Development,29,3,1,1,2,4,Manager,4,3,No,12,3,3,80,1,32,3,2
569,No,Research & Development,29,4,1,2,2,4,Manager,3,0,No,15,3,2,80,1,28,2,3
571,No,Research & Development,2,3,1,3,3,1,Laboratory Technician,4,0,No,14,3,3,80,0,12,2,2
573,No,Research & Development,28,3,1,3,2,3,Sales Executive,1,4,No,19,3,4,80,0,22,5,4
574,No,Research & Development,2,2,1,1,3,2,Manufacturing Director,4,5,No,13,3,3,80,3,20,2,3
575,No,Research & Development,2,3,1,1,3,4,Research Director,3,6,No,13,3,3,80,0,26,2,1
577,No,Research & Development,22,3,1,4,1,1,Laboratory Technician,3,0,No,15,3,3,80,0,6,2,3
578,No,Research & Development,8,4,1,3,3,2,Laboratory Technician,3,7,No,11,3,3,80,0,19,3,3
579,No,Research & Development,2,4,1,4,2,1,Research Scientist,3,3,No,12,3,3,80,1,14,3,3
580,No,Research & Development,10,3,1,3,2,3,Sales Executive,4,2,Yes,19,3,3,80,1,15,3,3
581,No,Research & Development,9,1,1,3,3,3,Manufacturing Director,2,1,No,25,4,4,80,1,13,6,4
582,Yes,Research & Development,15,1,1,2,3,3,Manager,3,7,Yes,12,3,4,80,0,15,2,4
584,Yes,Research & Development,10,1,1,1,1,1,Laboratory Technician,4,7,No,13,3,1,80,3,8,2,3
585,No,Research & Development,7,1,1,4,3,1,Sales Representative,2,0,No,14,3,1,80,0,4,3,3
586,No,Research & Development,16,3,1,4,3,3,Healthcare Representative,3,4,Yes,12,3,3,80,0,10,2,3
587,Yes,Research & Development,20,3,1,1,3,3,Healthcare Representative,3,3,No,12,3,1,80,0,12,2,3
590,Yes,Research & Development,23,3,1,2,3,3,Human Resources,1,9,Yes,15,3,3,80,3,11,2,3
591,No,Research & Development,5,2,1,2,3,1,Laboratory Technician,3,4,No,17,3,4,80,1,8,4,3
592,No,Research & Development,10,4,1,2,3,3,Sales Executive,4,1,No,14,3,4,80,0,10,3,2
593,Yes,Research & Development,4,1,1,3,2,1,Laboratory Technician,3,5,No,16,3,3,80,0,4,3,3
595,No,Research & Development,2,5,1,2,3,2,Sales Executive,4,2,No,14,3,1,80,1,14,2,3
597,No,Research & Development,18,5,1,1,3,4,Manager,2,3,No,23,4,4,80,0,37,2,3
599,No,Research & Development,10,2,1,4,3,2,Sales Executive,4,7,No,14,3,4,80,0,16,3,3
600,No,Research & Development,1,3,1,2,3,2,Sales Executive,3,9,No,11,3,3,80,0,15,2,3
601,No,Research & Development,6,3,1,2,3,4,Manufacturing Director,3,7,No,15,3,3,80,0,22,3,3
602,No,Research & Development,8,1,1,3,3,1,Laboratory Technician,3,1,No,11,3,1,80,1,8,3,3
604,No,Research & Development,2,1,1,2,3,2,Sales Executive,4,4,Yes,13,3,3,80,0,10,2,4
605,No,Research & Development,24,3,1,4,3,3,Manufacturing Director,1,1,Yes,21,4,4,80,1,10,5,2
606,No,Research & Development,2,3,1,4,3,2,Sales Executive,2,0,No,19,3,2,80,1,9,3,4
608,Yes,Research & Development,17,4,1,2,3,1,Human Resources,3,0,Yes,11,3,2,80,1,8,2,2
611,No,Research & Development,19,3,1,4,3,2,Manufacturing Director,4,4,No,12,3,2,80,2,8,2,4
612,No,Research & Development,1,5,1,1,4,4,Research Director,3,4,No,19,3,3,80,1,10,2,3
613,No,Research & Development,7,3,1,3,2,3,Manager,4,9,No,21,4,3,80,1,10,3,2
614,Yes,Research & Development,5,3,1,2,3,1,Sales Representative,2,1,Yes,14,3,4,80,0,0,3,3
615,No,Research & Development,28,3,1,3,1,3,Sales Executive,1,3,No,15,3,3,80,1,20,2,3
616,No,Research & Development,2,4,1,1,2,2,Healthcare Representative,3,2,Yes,17,3,1,80,0,10,3,3
618,No,Research & Development,29,2,1,1,3,2,Sales Executive,3,5,No,12,3,1,80,2,8,5,3
620,No,Research & Development,1,3,1,1,3,2,Sales Executive,3,1,No,16,3,4,80,0,5,3,3
621,No,Research & Development,21,4,1,4,4,2,Sales Executive,4,1,No,12,3,4,80,0,10,3,3
622,Yes,Research & Development,24,3,1,3,1,1,Laboratory Technician,4,1,Yes,18,3,2,80,0,1,3,1
623,No,Research & Development,1,3,1,2,3,3,Manufacturing Director,4,4,No,17,3,4,80,0,12,3,4
624,No,Research & Development,18,1,1,1,3,3,Healthcare Representative,3,5,No,11,3,4,80,0,28,3,2
625,No,Research & Development,2,5,1,2,3,4,Manager,1,7,No,16,3,2,80,1,22,2,3
626,No,Research & Development,9,4,1,1,3,3,Sales Executive,2,1,No,13,3,4,80,1,9,6,3
630,No,Research & Development,6,2,1,4,3,2,Research Scientist,1,3,Yes,12,3,2,80,2,18,3,3
631,Yes,Research & Development,11,4,1,4,4,2,Sales Executive,3,8,No,12,3,4,80,0,6,2,3
632,No,Research & Development,24,3,1,4,3,1,Sales Representative,4,0,No,13,3,3,80,2,3,3,3
634,No,Research & Development,10,3,1,3,3,2,Healthcare Representative,3,3,No,19,3,3,80,1,18,4,3
635,No,Research & Development,1,4,1,2,3,2,Manufacturing Director,2,6,No,12,3,2,80,1,8,2,2
638,No,Research & Development,18,4,1,4,2,5,Research Director,3,1,Yes,17,3,3,80,1,31,5,3
639,No,Research & Development,23,3,1,2,4,1,Research Scientist,4,1,Yes,11,3,2,80,2,6,3,3
641,No,Research & Development,28,2,1,1,3,2,Sales Executive,2,1,No,20,4,4,80,2,6,5,4
643,No,Research & Development,17,2,1,4,2,1,Laboratory Technician,2,1,No,21,4,4,80,1,1,2,3
644,No,Research & Development,3,3,1,1,3,5,Manager,2,1,No,11,3,3,80,1,32,2,3
645,No,Research & Development,13,1,1,2,3,1,Sales Representative,3,1,No,11,3,3,80,0,7,1,3
647,Yes,Research & Development,7,3,1,1,3,1,Laboratory Technician,3,1,Yes,16,3,4,80,1,6,4,3
648,Yes,Research & Development,12,4,1,2,2,1,Sales Representative,1,1,No,18,3,3,80,1,1,2,4
649,No,Research & Development,1,2,1,2,2,1,Research Scientist,4,1,Yes,13,3,4,80,1,6,3,3
650,Yes,Research & Development,13,4,1,2,3,2,Sales Executive,1,2,No,17,3,3,80,0,9,2,1
652,No,Research & Development,25,2,1,1,2,2,Laboratory Technician,4,4,No,14,3,4,80,0,9,3,3
653,No,Research & Development,6,4,1,1,4,2,Sales Executive,4,4,No,22,4,4,80,2,13,4,4
655,No,Research & Development,6,4,1,1,2,1,Research Scientist,3,0,No,12,3,3,80,2,6,5,2
656,No,Research & Development,2,3,1,4,3,2,Sales Executive,3,4,Yes,11,3,3,80,1,17,3,2
657,No,Research & Development,1,3,1,4,2,1,Research Scientist,2,1,No,13,3,4,80,0,1,0,4
659,No,Research & Development,2,4,1,3,3,2,Healthcare Representative,4,1,No,13,3,2,80,2,10,4,3
661,No,Research & Development,6,4,1,2,2,4,Research Director,4,4,Yes,14,3,3,80,1,21,3,2
662,No,Research & Development,1,1,1,3,3,1,Research Scientist,1,3,No,17,3,4,80,0,8,3,2
663,No,Research & Development,9,5,1,4,3,2,Laboratory Technician,3,3,Yes,13,3,2,80,1,10,3,3
664,No,Research & Development,1,4,1,4,2,4,Manager,1,7,No,11,3,1,80,1,21,3,1
665,No,Research & Development,1,4,1,1,2,2,Human Resources,3,4,No,11,3,2,80,0,10,1,4
666,No,Research & Development,14,3,1,3,3,1,Sales Representative,3,1,Yes,18,3,4,80,2,8,3,3
667,Yes,Research & Development,2,1,1,3,3,1,Sales Representative,1,0,No,11,3,2,80,1,5,3,3
669,No,Research & Development,22,1,1,3,3,1,Sales Representative,3,1,No,11,3,3,80,0,3,2,3
671,No,Research & Development,3,4,1,4,3,5,Manager,4,4,Yes,12,3,1,80,1,26,2,4
675,No,Research & Development,6,1,1,1,3,1,Research Scientist,3,0,No,20,4,4,80,0,3,3,3
677,No,Research & Development,8,4,1,3,3,2,Sales Executive,3,0,No,12,3,4,80,0,6,3,3
679,No,Research & Development,9,4,1,1,3,2,Research Scientist,4,1,Yes,12,3,4,80,1,6,2,2
680,No,Research & Development,3,3,1,3,3,1,Research Scientist,3,1,No,20,4,3,80,1,1,2,3
682,No,Research & Development,1,1,1,4,3,2,Sales Executive,1,7,No,20,4,4,80,0,18,2,4
683,No,Research & Development,1,5,1,2,3,1,Research Scientist,4,1,No,12,3,4,80,1,10,4,2
684,Yes,Research & Development,26,4,1,1,3,2,Sales Executive,1,2,No,14,3,4,80,2,5,4,3
686,No,Research & Development,6,3,1,3,3,1,Laboratory Technician,4,1,Yes,13,3,3,80,1,3,2,3
689,No,Research & Development,3,3,1,3,3,3,Manufacturing Director,3,1,No,15,3,3,80,1,10,2,3
690,No,Research & Development,3,2,1,2,3,2,Sales Executive,3,1,No,14,3,1,80,1,6,5,2
691,No,Research & Development,6,4,1,2,1,2,Research Scientist,4,1,No,13,3,2,80,0,17,3,3
692,No,Research & Development,6,3,1,3,3,2,Healthcare Representative,4,3,No,23,4,3,80,1,15,2,1
698,No,Research & Development,19,4,1,3,3,3,Human Resources,2,2,No,15,3,3,80,1,16,1,4
699,No,Research & Development,9,2,1,2,2,2,Manufacturing Director,2,2,Yes,11,3,3,80,1,13,2,3
700,No,Research & Development,3,4,1,1,2,1,Research Scientist,4,0,No,13,3,4,80,0,5,0,3
701,Yes,Research & Development,10,1,1,4,3,1,Research Scientist,3,1,Yes,11,3,4,80,0,1,5,3
702,Yes,Research & Development,3,3,1,1,3,1,Research Scientist,1,1,Yes,11,3,1,80,0,10,3,3
704,No,Research & Development,3,3,1,3,2,1,Laboratory Technician,3,1,No,18,3,3,80,2,1,3,3
705,No,Research & Development,4,3,1,1,4,1,Research Scientist,1,2,No,16,3,1,80,1,5,3,4
707,No,Research & Development,8,3,1,4,4,2,Sales Executive,2,0,No,22,4,3,80,1,4,4,3
709,No,Research & Development,7,4,1,4,2,2,Sales Executive,4,0,No,20,4,1,80,0,8,2,3
710,No,Research & Development,1,4,1,2,1,1,Research Scientist,4,1,No,18,3,4,80,1,10,5,3
712,No,Research & Development,2,1,1,2,4,2,Sales Executive,2,3,No,12,3,4,80,0,12,3,3
714,No,Research & Development,3,1,1,4,4,2,Sales Executive,4,1,Yes,20,4,2,80,2,6,3,3
715,No,Research & Development,10,2,1,4,4,1,Research Scientist,4,3,No,17,3,1,80,0,4,2,3
716,No,Research & Development,28,1,1,4,4,1,Laboratory Technician,3,1,Yes,11,3,3,80,3,20,3,3
717,No,Research & Development,9,3,1,4,2,3,Healthcare Representative,2,1,No,14,3,2,80,0,9,3,4
720,Yes,Research & Development,3,2,1,1,3,2,Sales Executive,3,9,No,14,3,1,80,0,4,3,3
721,No,Research & Development,2,4,1,4,2,2,Healthcare Representative,3,1,No,11,3,1,80,0,20,4,3
722,No,Research & Development,10,3,1,4,3,2,Sales Executive,4,1,No,12,3,4,80,0,10,2,2
723,Yes,Research & Development,8,2,1,2,3,2,Sales Executive,3,3,Yes,14,3,1,80,1,18,4,3
724,No,Research & Development,1,4,1,2,4,2,Healthcare Representative,4,0,No,13,3,3,80,0,10,4,2
725,No,Research & Development,1,2,1,3,3,3,Manufacturing Director,1,1,No,11,3,4,80,0,9,3,3
727,No,Research & Development,3,2,1,3,3,3,Research Director,4,3,No,15,3,4,80,0,10,6,3
728,No,Research & Development,14,4,1,4,3,2,Sales Executive,1,2,No,12,3,4,80,0,20,2,3
729,No,Research & Development,5,4,1,4,2,3,Sales Executive,1,5,Yes,21,4,3,80,1,20,2,3
730,No,Research & Development,7,3,1,3,4,4,Research Director,3,3,No,19,3,3,80,0,32,3,3
731,No,Research & Development,10,4,1,2,2,5,Manager,4,3,No,15,3,2,80,3,23,2,2
732,No,Research & Development,16,4,1,1,3,2,Sales Executive,1,8,No,14,3,4,80,0,10,1,3
733,No,Research & Development,10,2,1,4,3,3,Manufacturing Director,1,1,No,21,4,3,80,2,9,4,2
734,No,Research & Development,1,3,1,4,2,5,Manager,3,1,No,12,3,2,80,1,22,3,3
738,No,Research & Development,8,4,1,4,3,1,Sales Representative,2,7,No,15,3,4,80,1,4,2,3
741,Yes,Research & Development,1,2,1,1,1,1,Research Scientist,2,7,Yes,13,3,4,80,0,10,4,3
742,No,Research & Development,8,3,1,1,4,3,Research Director,1,9,No,14,3,1,80,1,10,2,3
743,No,Research & Development,1,3,1,3,3,3,Manufacturing Director,3,4,Yes,14,3,4,80,0,10,4,4
744,No,Research & Development,24,3,1,1,1,1,Laboratory Technician,3,2,No,14,3,3,80,0,9,5,3
746,No,Research & Development,3,3,1,4,3,4,Sales Executive,3,9,Yes,12,3,4,80,2,28,2,2
747,No,Research & Development,27,5,1,3,3,2,Sales Executive,4,7,No,23,4,4,80,1,10,2,2
749,No,Research & Development,10,3,1,3,3,1,Sales Representative,3,1,No,11,3,3,80,0,1,6,3
752,Yes,Research & Development,19,3,1,3,4,1,Research Scientist,3,6,Yes,12,3,4,80,0,7,2,3
754,No,Research & Development,15,3,1,4,2,2,Sales Executive,4,3,No,18,3,3,80,1,7,5,3
757,No,Research & Development,8,2,1,2,3,2,Healthcare Representative,3,3,No,11,3,4,80,0,10,2,3
758,No,Research & Development,9,1,1,2,3,1,Laboratory Technician,1,1,No,14,3,4,80,1,5,2,4
760,No,Research & Development,3,3,1,3,4,2,Human Resources,2,9,No,15,3,3,80,1,12,3,1
762,No,Research & Development,9,3,1,3,3,4,Healthcare Representative,4,7,No,11,3,3,80,0,30,1,2
763,No,Research & Development,2,1,1,4,2,1,Research Scientist,4,0,Yes,20,4,4,80,0,5,2,2
764,No,Research & Development,7,3,1,4,2,2,Healthcare Representative,1,8,No,19,3,1,80,0,9,2,1
766,No,Research & Development,10,3,1,4,3,1,Sales Representative,2,1,No,14,3,4,80,2,2,2,3
769,No,Research & Development,6,3,1,4,3,2,Laboratory Technician,4,2,No,17,3,4,80,0,19,4,3
771,No,Research & Development,2,4,1,4,3,2,Healthcare Representative,1,2,No,11,3,1,80,1,16,2,4
772,No,Research & Development,24,4,1,1,3,2,Laboratory Technician,4,1,No,15,3,4,80,2,10,2,3
773,No,Research & Development,2,5,1,4,3,1,Research Scientist,3,6,Yes,13,3,2,80,1,6,0,1
775,No,Research & Development,8,5,1,2,3,2,Manufacturing Director,1,3,No,14,3,3,80,1,7,3,3
776,No,Research & Development,3,4,1,3,2,4,Manager,1,1,No,11,3,1,80,0,34,3,4
780,Yes,Research & Development,1,4,1,4,3,1,Research Scientist,4,1,Yes,13,3,3,80,0,10,2,2
781,No,Research & Development,26,1,1,3,3,2,Sales Executive,4,1,No,23,4,2,80,0,6,5,2
783,No,Research & Development,2,2,1,2,1,2,Sales Representative,3,0,No,13,3,1,80,0,9,3,3
784,No,Research & Development,10,1,1,1,4,1,Research Scientist,3,1,No,18,3,4,80,0,2,3,3
785,Yes,Research & Development,27,2,1,2,4,2,Sales Executive,3,4,Yes,12,3,4,80,0,8,2,3
786,No,Research & Development,2,3,1,4,3,2,Sales Executive,4,1,No,22,4,3,80,0,6,5,3
787,Yes,Research & Development,2,3,1,4,3,5,Manager,1,5,Yes,13,3,4,80,1,24,2,3
789,No,Research & Development,8,4,1,1,2,3,Sales Executive,1,1,No,15,3,2,80,0,10,1,3
791,No,Research & Development,19,4,1,4,3,1,Research Scientist,4,0,No,18,3,1,80,1,5,3,3
792,No,Research & Development,1,2,1,1,1,1,Laboratory Technician,4,3,No,14,3,1,80,1,5,2,3
793,No,Research & Development,27,3,1,2,3,2,Healthcare Representative,3,4,No,12,3,1,80,1,11,3,2
796,Yes,Research & Development,8,3,1,4,2,2,Sales Executive,1,6,No,17,3,3,80,0,6,2,2
797,No,Research & Development,1,4,1,2,4,1,Research Scientist,4,2,No,16,3,3,80,0,10,2,3
799,No,Research & Development,19,4,1,4,3,2,Manufacturing Director,1,9,Yes,11,3,2,80,2,9,4,3
800,No,Research & Development,8,1,1,3,3,2,Sales Executive,4,0,No,19,3,2,80,1,5,3,3
802,No,Research & Development,10,1,1,4,3,1,Research Scientist,1,0,Yes,13,3,2,80,2,6,3,2
803,No,Research & Development,2,4,1,1,4,2,Manufacturing Director,1,6,Yes,12,3,4,80,0,17,2,3
804,No,Research & Development,2,4,1,3,2,1,Research Scientist,1,1,No,11,3,3,80,0,6,3,3
805,No,Research & Development,8,4,1,1,3,1,Sales Representative,4,1,No,16,3,2,80,1,3,1,2
806,No,Research & Development,1,3,1,4,1,1,Laboratory Technician,3,3,No,21,4,3,80,2,7,2,3
807,No,Research & Development,2,2,1,3,4,2,Healthcare Representative,2,1,No,24,4,4,80,1,8,2,3
808,No,Research & Development,8,2,1,3,3,2,Sales Executive,1,5,No,17,3,2,80,1,6,1,3
809,No,Research & Development,8,3,1,2,3,5,Manager,4,1,No,13,3,2,80,1,24,4,2
811,Yes,Research & Development,6,3,1,3,4,1,Laboratory Technician,1,1,Yes,21,4,3,80,2,1,2,3
812,No,Research & Development,9,3,1,3,2,1,Laboratory Technician,2,1,No,11,3,3,80,3,1,4,3
813,No,Research & Development,11,4,1,4,3,2,Laboratory Technician,3,8,No,20,4,2,80,1,9,3,3
815,No,Research & Development,2,3,1,3,3,4,Research Director,3,5,No,16,3,4,80,0,30,3,3
816,Yes,Research & Development,1,2,1,2,2,1,Laboratory Technician,1,1,Yes,11,3,4,80,1,1,1,3
